"index","Team","Points Scored","Points Allowed","Total Points","Point Differential"
"785","Pelicans","100","113","213","-13"
"786","Bulls","89","108","197","-19"
"787","Kings","108","89","197","19"
"788","Bucks","108","92","200","16"
"789","Cavaliers","92","108","200","-16"
"790","Thunder","122","113","235","9"
"791","Jazz","113","122","235","-9"
"792","Mavericks","101","76","177","25"
"793","Magic","76","101","177","-25"
"794","Nuggets","105","99","204","6"
"795","Grizzlies","99","105","204","-6"
"796","Suns","119","123","242","-4"
"797","Clippers","123","119","242","4"
"798","Warriors","116","108","224","8"
"799","Timberwolves","108","116","224","-8"
"800","Lakers","108","105","213","3"
"801","Heat","105","108","213","-3"
"802","Rockets","111","104","215","7"
"803","Trail Blazers","104","111","215","-7"
"804","Spurs","111","86","197","25"
"805","Suns","86","111","197","-25"
"806","Clippers","99","123","222","-24"
"807","Raptors","123","99","222","24"
"808","Hornets","108","107","215","1"
"809","Pistons","107","108","215","-1"
"810","Cavaliers","113","106","219","7"
"811","Knicks","106","113","219","-7"
"812","Pacers","113","97","210","16"
"813","Bucks","97","113","210","-16"
"814","76ers","124","127","251","-3"
"815","Nets","127","124","251","3"
"816","Wizards","125","130","255","-5"
"817","Celtics","130","125","255","5"
"818","Grizzlies","92","83","175","9"
"819","Trail Blazers","83","92","175","-9"
"820","Pelicans","118","114","232","4"
"821","Thunder","114","118","232","-4"
"822","Mavericks","114","107","221","7"
"823","Hawks","107","114","221","-7"
"824","Jazz","111","84","195","27"
"825","Heat","84","111","195","-27"
"826","Kings","141","130","271","11"
"827","Timberwolves","130","141","271","-11"
"828","Warriors","93","113","206","-20"
"829","Raptors","113","93","206","20"
"830","Rockets","126","111","237","15"
"831","Lakers","111","126","237","-15"
"832","Spurs","125","87","212","38"
"833","Clippers","87","125","212","-38"
"834","Magic","97","91","188","6"
"835","Bulls","91","97","188","-6"
"836","Suns","99","89","188","10"
"837","Mavericks","89","99","188","-10"
"838","Celtics","129","108","237","21"
"839","Hawks","108","129","237","-21"
"840","Hornets","124","126","250","-2"
"841","Knicks","126","124","250","2"
"842","Nets","125","118","243","7"
"843","Wizards","118","125","243","-7"
"844","Cavaliers","102","114","216","-12"
"845","Bucks","114","102","216","12"
"846","76ers","101","113","214","-12"
"847","Pacers","113","101","214","12"
"848","Grizzlies","97","100","197","-3"
"849","Heat","100","97","197","3"
"850","Nuggets","109","98","207","11"
"851","Thunder","98","109","207","-11"
"852","Trail Blazers","128","122","250","6"
"853","Raptors","122","128","250","-6"
"854","Kings","125","130","255","-5"
"855","Warriors","130","125","255","5"
"856","Magic","96","89","185","7"
"857","Jazz","89","96","185","-7"
"858","Hornets","100","128","228","-28"
"859","Lakers","128","100","228","28"
"860","Pistons","113","104","217","9"
"861","Celtics","104","113","217","-9"
"862","Grizzlies","97","105","202","-8"
"863","Rockets","105","97","202","8"
"864","Spurs","93","98","191","-5"
"865","Bulls","98","93","191","5"
"866","Thunder","110","104","214","6"
"867","Clippers","104","110","214","-6"
"868","Suns","107","99","206","8"
"869","Timberwolves","99","107","206","-8"
"870","Nets","144","127","271","17"
"871","Hawks","127","144","271","-17"
"872","Cavaliers","105","128","233","-23"
"873","76ers","128","105","233","23"
"874","Pacers","110","99","209","11"
"875","Knicks","99","110","209","-11"
"876","Wizards","128","110","238","18"
"877","Lakers","110","128","238","-18"
"878","Mavericks","113","120","233","-7"
"879","Kings","120","113","233","7"
"880","Pelicans","96","102","198","-6"
"881","Heat","102","96","198","6"
"882","Nuggets","95","86","181","9"
"883","Raptors","86","95","181","-9"
"884","Pistons","104","107","211","-3"
"885","Bucks","107","104","211","3"
"886","Knicks","110","128","238","-18"
"887","Suns","128","110","238","18"
"888","Rockets","102","97","199","5"
"889","Jazz","97","102","199","-5"
"890","Timberwolves","132","105","237","27"
"891","Kings","105","132","237","-27"
"892","Thunder","121","96","217","25"
"893","Bulls","96","121","217","-25"
"894","Spurs","123","96","219","27"
"895","76ers","96","123","219","-27"
"896","Warriors","110","93","203","17"
"897","Grizzlies","93","110","203","-17"
"898","Clippers","127","131","258","-4"
"899","Trail Blazers","131","127","258","4"
"900","Pacers","91","92","183","-1"
"901","Cavaliers","92","91","183","1"
"902","Hawks","118","110","228","8"
"903","Wizards","110","118","228","-8"
"904","Nets","115","110","225","5"
"905","Lakers","110","115","225","-5"
"906","Nuggets","126","118","244","8"
"907","Mavericks","118","126","244","-8"
"908","Hornets","110","99","209","11"
"909","Cavaliers","99","110","209","-11"
"910","Magic","90","129","219","-39"
"911","Spurs","129","90","219","39"
"912","76ers","131","109","240","22"
"913","Knicks","109","131","240","-22"
"914","Celtics","103","111","214","-8"
"915","Suns","111","103","214","8"
"916","Raptors","99","96","195","3"
"917","Pacers","96","99","195","-3"
"918","Bulls","93","96","189","-3"
"919","Nets","96","93","189","3"
"920","Rockets","136","118","254","18"
"921","Wizards","118","136","254","-18"
"922","Bucks","123","115","238","8"
"923","Pelicans","115","123","238","-8"
"924","Timberwolves","123","129","252","-6"
"925","Pistons","129","123","252","6"
"926","Jazz","108","103","211","5"
"927","Warriors","103","108","211","-5"
"928","Trail Blazers","99","92","191","7"
"929","Grizzlies","92","99","191","-7"
"930","Kings","113","132","245","-19"
"931","Thunder","132","113","245","19"
"932","Heat","101","99","200","2"
"933","Rockets","99","101","200","-2"
"934","Clippers","125","121","246","4"
"935","Mavericks","121","125","246","-4"
"936","Hornets","98","86","184","12"
"937","Pistons","86","98","184","-12"
"938","Raptors","126","110","236","16"
"939","Cavaliers","110","126","236","-16"
"940","Nets","106","114","220","-8"
"941","Pacers","114","106","220","8"
"942","Knicks","107","114","221","-7"
"943","Hawks","114","107","221","7"
"944","Celtics","107","120","227","-13"
"945","Bucks","120","107","227","13"
"946","Bulls","90","80","170","10"
"947","Magic","80","90","170","-10"
"948","Spurs","124","98","222","26"
"949","Timberwolves","98","124","222","-26"
"950","Trail Blazers","90","120","210","-30"
"951","Jazz","120","90","210","30"
"952","Kings","102","99","201","3"
"953","Grizzlies","99","102","201","-3"
"954","Lakers","112","104","216","8"
"955","Pelicans","104","112","216","-8"
"956","Clippers","132","111","243","21"
"957","Nuggets","111","132","243","-21"
"958","Wizards","149","146","295","3"
"959","Suns","146","149","295","-3"
"960","76ers","126","101","227","25"
"961","Raptors","101","126","227","-25"
"962","Heat","94","87","181","7"
"963","Bucks","87","94","181","-7"
"964","Rockets","108","101","209","7"
"965","Spurs","101","108","209","-7"
"966","Warriors","120","116","236","4"
"967","Mavericks","116","120","236","-4"
"968","Jazz","106","107","213","-1"
"969","Thunder","107","106","213","1"
"970","Pistons","95","98","193","-3"
"971","Hawks","98","95","193","3"
"972","Pacers","105","89","194","16"
"973","Wizards","89","105","194","-16"
"974","Celtics","119","103","222","16"
"975","Hornets","103","119","222","-16"
"976","Nets","111","103","214","8"
"977","Suns","103","111","214","-8"
"978","Cavaliers","92","112","204","-20"
"979","Bulls","112","92","204","20"
"980","Magic","91","115","206","-24"
"981","Heat","115","91","206","24"
"982","Kings","122","117","239","5"
"983","Pelicans","117","122","239","-5"
"984","Thunder","112","114","226","-2"
"985","Timberwolves","114","112","226","2"
"986","Warriors","129","127","256","2"
"987","Clippers","127","129","256","-2"
"988","Trail Blazers","121","118","239","3"
"989","Mavericks","118","121","239","-3"
"990","Lakers","99","107","206","-8"
"991","Grizzlies","107","99","206","8"
"992","Pistons","106","95","201","11"
"993","Wizards","95","106","201","-11"
"994","Magic","120","122","242","-2"
"995","Suns","122","120","242","2"
"996","Hawks","121","129","250","-8"
"997","Pacers","129","121","250","8"
"998","Nets","134","132","266","2"
"999","Hornets","132","134","266","-2"
"1000","Heat","104","106","210","-2"
"1001","Raptors","106","104","210","2"
"1002","Bulls","94","119","213","-25"
"1003","Timberwolves","119","94","213","25"
"1004","Grizzlies","95","87","182","8"
"1005","Cavaliers","87","95","182","-8"
"1006","Mavericks","122","119","241","3"
"1007","Pelicans","119","122","241","-3"
"1008","Spurs","111","103","214","8"
"1009","Nuggets","103","111","214","-8"
"1010","Clippers","127","118","245","9"
"1011","Kings","118","127","245","-9"
"1012","Rockets","127","113","240","14"
"1013","Celtics","113","127","240","-14"
"1014","Bucks","112","96","208","16"
"1015","Knicks","96","112","208","-16"
"1016","Kings","117","116","233","1"
"1017","Lakers","116","117","233","-1"
"1018","Jazz","97","114","211","-17"
"1019","76ers","114","97","211","17"
"1020","Warriors","109","110","219","-1"
"1021","Trail Blazers","110","109","219","1"
"1022","Hornets","100","87","187","13"
"1023","Nets","87","100","187","-13"
"1024","Pacers","125","88","213","37"
"1025","Pistons","88","125","213","-37"
"1026","Magic","116","87","203","29"
"1027","Raptors","87","116","203","-29"
"1028","Wizards","92","101","193","-9"
"1029","Bulls","101","92","193","9"
"1030","Heat","118","94","212","24"
"1031","Cavaliers","94","118","212","-24"
"1032","Timberwolves","120","123","243","-3"
"1033","Hawks","123","120","243","3"
"1034","Pelicans","114","112","226","2"
"1035","Mavericks","112","114","226","-2"
"1036","Nuggets","102","99","201","3"
"1037","Spurs","99","102","201","-3"
"1038","Suns","102","118","220","-16"
"1039","Thunder","118","102","220","16"
"1040","Lakers","107","118","225","-11"
"1041","Clippers","118","107","225","11"
"1042","Bucks","129","115","244","14"
"1043","Nets","115","129","244","-14"
"1044","Wizards","130","126","256","4"
"1045","Hornets","126","130","256","-4"
"1046","Pelicans","104","108","212","-4"
"1047","Rockets","108","104","212","4"
"1048","Hawks","111","108","219","3"
"1049","Cavaliers","108","111","219","-3"
"1050","Grizzlies","103","112","215","-9"
"1051","Celtics","112","103","215","9"
"1052","Jazz","129","97","226","32"
"1053","Knicks","97","129","226","-32"
"1054","Suns","118","122","240","-4"
"1055","Nuggets","122","118","240","4"
"1056","Trail Blazers","105","115","220","-10"
"1057","Warriors","115","105","220","10"
"1058","Clippers","111","122","233","-11"
"1059","Spurs","122","111","233","11"
"1060","Magic","109","107","216","2"
"1061","Pistons","107","109","216","-2"
"1062","Heat","104","113","217","-9"
"1063","Timberwolves","113","104","217","9"
"1064","Raptors","95","89","184","6"
"1065","Bulls","89","95","184","-6"
"1066","Mavericks","105","103","208","2"
"1067","Thunder","103","105","208","-2"
"1068","Trail Blazers","129","95","224","34"
"1069","76ers","95","129","224","-34"
"1070","Lakers","121","114","235","7"
"1071","Kings","114","121","235","-7"
"1072","Pacers","116","108","224","8"
"1073","Hawks","108","116","224","-8"
"1074","Hornets","125","100","225","25"
"1075","Magic","100","125","225","-25"
"1076","Rockets","113","101","214","12"
"1077","Grizzlies","101","113","214","-12"
"1078","Spurs","120","111","231","9"
"1079","Celtics","111","120","231","-9"
"1080","Pelicans","123","114","237","9"
"1081","Timberwolves","114","123","237","-9"
"1082","Thunder","122","102","224","20"
"1083","Mavericks","102","122","224","-20"
"1084","Suns","109","132","241","-23"
"1085","Warriors","132","109","241","23"
"1086","Raptors","122","116","238","6"
"1087","Jazz","116","122","238","-6"
"1088","Bucks","121","98","219","23"
"1089","Pistons","98","121","219","-23"
"1090","Nuggets","115","108","223","7"
"1091","Knicks","108","115","223","-7"
"1092","Kings","108","113","221","-5"
"1093","Trail Blazers","113","108","221","5"
"1094","Clippers","113","119","232","-6"
"1095","76ers","119","113","232","6"
"1096","Hornets","84","122","206","-38"
"1097","Mavericks","122","84","206","38"
"1098","Cavaliers","92","117","209","-25"
"1099","Heat","117","92","209","25"
"1100","Wizards","114","98","212","16"
"1101","Hawks","98","114","212","-16"
"1102","Nets","126","121","247","5"
"1103","Pelicans","121","126","247","-5"
"1104","Celtics","115","102","217","13"
"1105","Timberwolves","102","115","217","-13"
"1106","Bulls","84","112","196","-28"
"1107","Magic","112","84","196","28"
"1108","Grizzlies","94","101","195","-7"
"1109","Pistons","101","94","195","7"
"1110","Suns","127","132","259","-5"
"1111","76ers","132","127","259","5"
"1112","Lakers","100","107","207","-7"
"1113","Thunder","107","100","207","7"
"1114","Spurs","125","107","232","18"
"1115","Raptors","107","125","232","-18"
"1116","Kings","113","117","230","-4"
"1117","Nuggets","117","113","230","4"
"1118","Warriors","134","135","269","-1"
"1119","Rockets","135","134","269","1"
"1120","Cavaliers","91","117","208","-26"
"1121","Jazz","117","91","208","26"
"1122","Heat","115","109","224","6"
"1123","Wizards","109","115","224","-6"
"1124","Bulls","116","119","235","-3"
"1125","Pacers","119","116","235","3"
"1126","Grizzlies","100","109","209","-9"
"1127","Nets","109","100","209","9"
"1128","Timberwolves","120","103","223","17"
"1129","Magic","103","120","223","-17"
"1130","Celtics","114","93","207","21"
"1131","Mavericks","93","114","207","-21"
"1132","Bucks","144","112","256","32"
"1133","Hawks","112","144","256","-32"
"1134","Suns","111","121","232","-10"
"1135","Clippers","121","111","232","10"
"1136","Lakers","112","119","231","-7"
"1137","Knicks","119","112","231","7"
"1138","Trail Blazers","109","111","220","-2"
"1139","Thunder","111","109","220","2"
"1140","Nuggets","123","110","233","13"
"1141","Hornets","110","123","233","-13"
"1142","Pistons","105","110","215","-5"
"1143","Jazz","110","105","215","5"
"1144","76ers","106","100","206","6"
"1145","Mavericks","100","106","206","-6"
"1146","Cavaliers","98","133","231","-35"
"1147","Pelicans","133","98","231","35"
"1148","Bucks","116","123","239","-7"
"1149","Raptors","123","116","239","7"
"1150","Spurs","108","88","196","20"
"1151","Grizzlies","88","108","196","-20"
"1152","Trail Blazers","110","101","211","9"
"1153","Rockets","101","110","211","-9"
"1154","Kings","123","127","250","-4"
"1155","Warriors","127","123","250","4"
"1156","Bulls","100","117","217","-17"
"1157","Nets","117","100","217","17"
"1158","Timberwolves","108","86","194","22"
"1159","Lakers","86","108","194","-22"
"1160","Clippers","106","96","202","10"
"1161","Magic","96","106","202","-10"
"1162","Hawks","106","82","188","24"
"1163","Heat","82","106","188","-24"
"1164","Thunder","98","116","214","-18"
"1165","Wizards","116","98","214","18"
"1166","Raptors","121","105","226","16"
"1167","Pacers","105","121","226","-16"
"1168","Suns","113","119","232","-6"
"1169","Hornets","119","113","232","6"
"1170","Pistons","107","119","226","-12"
"1171","Spurs","119","107","226","12"
"1172","Celtics","116","95","211","21"
"1173","Nets","95","116","211","-21"
"1174","Rockets","125","113","238","12"
"1175","Nuggets","113","125","238","-12"
"1176","Bucks","114","102","216","12"
"1177","Jazz","102","114","216","-12"
"1178","Pelicans","114","95","209","19"
"1179","Grizzlies","95","114","209","-19"
"1180","Mavericks","97","107","204","-10"
"1181","Lakers","107","97","204","10"
"1182","Trail Blazers","111","101","212","10"
"1183","Knicks","101","111","212","-10"
"1184","Kings","111","95","206","16"
"1185","Magic","95","111","206","-16"
"1186","Cavaliers","115","123","238","-8"
"1187","Pacers","123","115","238","8"
"1188","76ers","132","115","247","17"
"1189","Wizards","115","132","247","-17"
"1190","Heat","99","103","202","-4"
"1191","Nuggets","103","99","202","4"
"1192","Raptors","104","101","205","3"
"1193","Hawks","101","104","205","-3"
"1194","Thunder","117","119","236","-2"
"1195","Timberwolves","119","117","236","2"
"1196","Suns","115","111","226","4"
"1197","Kings","111","115","226","-4"
"1198","Warriors","122","95","217","27"
"1199","Knicks","95","122","217","-27"
"1200","Clippers","128","109","237","19"
"1201","Hornets","109","128","237","-19"
"1202","Celtics","135","108","243","27"
"1203","Pacers","108","135","243","-27"
"1204","Wizards","123","106","229","17"
"1205","76ers","106","123","229","-17"
"1206","Nets","116","100","216","16"
"1207","Hawks","100","116","216","-16"
"1208","Rockets","109","116","225","-7"
"1209","Bucks","116","109","225","7"
"1210","Grizzlies","96","86","182","10"
"1211","Spurs","86","96","182","-10"
"1212","Pelicans","140","124","264","16"
"1213","Cavaliers","124","140","264","-16"
"1214","Mavericks","104","94","198","10"
"1215","Suns","94","104","198","-10"
"1216","Jazz","106","93","199","13"
"1217","Magic","93","106","199","-13"
"1218","Trail Blazers","124","112","236","12"
"1219","Bulls","112","124","236","-12"
"1220","Lakers","113","100","213","13"
"1221","Pistons","100","113","213","-13"
"1222","Heat","115","99","214","16"
"1223","Celtics","99","115","214","-16"
"1224","Nuggets","121","100","221","21"
"1225","Clippers","100","121","221","-21"
"1226","Spurs","154","147","301","7"
"1227","Thunder","147","154","301","-7"
"1228","Kings","112","102","214","10"
"1229","Pistons","102","112","214","-10"
"1230","76ers","121","123","244","-2"
"1231","Hawks","123","121","244","2"
"1232","Wizards","113","106","219","7"
"1233","Bucks","106","113","219","-7"
"1234","Knicks","106","121","227","-15"
"1235","Pacers","121","106","227","15"
"1236","Raptors","122","105","227","17"
"1237","Nets","105","122","227","-17"
"1238","Rockets","141","113","254","28"
"1239","Cavaliers","113","141","254","-28"
"1240","Timberwolves","115","119","234","-4"
"1241","Mavericks","119","115","234","4"
"1242","Jazz","113","95","208","18"
"1243","Lakers","95","113","208","-18"
"1244","Trail Blazers","127","96","223","31"
"1245","Hornets","96","127","223","-31"
"1246","Warriors","146","109","255","37"
"1247","Bulls","109","146","255","-37"
"1248","Clippers","104","109","213","-5"
"1249","Pistons","109","104","213","5"
"1250","Heat","112","108","220","4"
"1251","Grizzlies","108","112","220","-4"
"1252","Magic","105","103","208","2"
"1253","Celtics","103","105","208","-2"
"1254","Timberwolves","110","106","216","4"
"1255","Pelicans","106","110","216","-4"
"1256","Thunder","122","112","234","10"
"1257","Spurs","112","122","234","-10"
"1258","Suns","102","93","195","9"
"1259","Nuggets","93","102","195","-9"
"1260","Jazz","110","102","212","8"
"1261","Bulls","102","110","212","-8"
"1262","Kings","104","97","201","7"
"1263","Hornets","97","104","201","-7"
"1264","Knicks","105","108","213","-3"
"1265","76ers","108","105","213","3"
"1266","Wizards","138","140","278","-2"
"1267","Raptors","140","138","278","2"
"1268","Hawks","114","133","247","-19"
"1269","Bucks","133","114","247","19"
"1270","Magic","116","109","225","7"
"1271","Rockets","109","116","225","-7"
"1272","Mavericks","114","119","233","-5"
"1273","Warriors","119","114","233","5"
"1274","Nuggets","116","113","229","3"
"1275","Trail Blazers","113","116","229","-3"
"1276","Lakers","95","101","196","-6"
"1277","Cavaliers","101","95","196","6"
"1278","Nets","109","102","211","7"
"1279","Celtics","102","109","211","-7"
"1280","Rockets","112","94","206","18"
"1281","Grizzlies","94","112","206","-18"
"1282","Spurs","93","108","201","-15"
"1283","Hornets","108","93","201","15"
"1284","Jazz","100","94","194","6"
"1285","Pistons","94","100","194","-6"
"1286","Kings","115","107","222","8"
"1287","Trail Blazers","107","115","222","-8"
"1288","Clippers","117","121","238","-4"
"1289","Pelicans","121","117","238","4"
"1290","Pacers","131","97","228","34"
"1291","Suns","97","131","228","-34"
"1292","76ers","149","107","256","42"
"1293","Timberwolves","107","149","256","-42"
"1294","Hawks","142","126","268","16"
"1295","Thunder","126","142","268","-16"
"1296","Bucks","124","86","210","38"
"1297","Heat","86","124","210","-38"
"1298","Nuggets","111","142","253","-31"
"1299","Warriors","142","111","253","31"
"1300","Lakers","107","100","207","7"
"1301","Bulls","100","107","207","-7"
"1302","Pistons","120","115","235","5"
"1303","Magic","115","120","235","-5"
"1304","Celtics","117","108","225","9"
"1305","Raptors","108","117","225","-9"
"1306","Rockets","142","145","287","-3"
"1307","Nets","145","142","287","3"
"1308","Grizzlies","101","111","212","-10"
"1309","Bucks","111","101","212","10"
"1310","Mavericks","101","105","206","-4"
"1311","Spurs","105","101","206","4"
"1312","Trail Blazers","129","112","241","17"
"1313","Cavaliers","112","129","241","-17"
"1314","Warriors","147","140","287","7"
"1315","Pelicans","140","147","287","-7"
"1316","Clippers","109","129","238","-20"
"1317","Jazz","129","109","238","20"
"1318","Wizards","101","100","201","1"
"1319","Knicks","100","101","201","-1"
"1320","Hornets","114","95","209","19"
"1321","Kings","95","114","209","-19"
"1322","Pacers","96","120","216","-24"
"1323","76ers","120","96","216","24"
"1324","Raptors","111","109","220","2"
"1325","Suns","109","111","220","-2"
"1326","Nuggets","135","105","240","30"
"1327","Bulls","105","135","240","-30"
"1328","Thunder","128","138","266","-10"
"1329","Lakers","138","128","266","10"
"1330","Celtics","122","116","238","6"
"1331","Grizzlies","116","122","238","-6"
"1332","Pistons","98","93","191","5"
"1333","Heat","93","98","191","-5"
"1334","Magic","115","117","232","-2"
"1335","Nets","117","115","232","2"
"1336","Timberwolves","113","116","229","-3"
"1337","Spurs","116","113","229","3"
"1338","Jazz","115","99","214","16"
"1339","Cavaliers","99","115","214","-16"
"1340","Clippers","94","112","206","-18"
"1341","Warriors","112","94","206","18"
"1342","Trail Blazers","128","112","240","16"
"1343","Pelicans","112","128","240","-16"
"1344","76ers","115","117","232","-2"
"1345","Thunder","117","115","232","2"
"1346","Hornets","135","115","250","20"
"1347","Suns","115","135","250","-20"
"1348","Pistons","101","103","204","-2"
"1349","Kings","103","101","204","2"
"1350","Pacers","111","99","210","12"
"1351","Mavericks","99","111","210","-12"
"1352","Magic","108","118","226","-10"
"1353","Bucks","118","108","226","10"
"1354","Hawks","105","113","218","-8"
"1355","Celtics","113","105","218","8"
"1356","Raptors","119","90","209","29"
"1357","Grizzlies","90","119","209","-29"
"1358","Bulls","103","117","220","-14"
"1359","Heat","117","103","220","14"
"1360","Rockets","138","134","272","4"
"1361","Lakers","134","138","272","-4"
"1362","Nuggets","124","102","226","22"
"1363","Cavaliers","102","124","226","-22"
"1364","Pacers","120","95","215","25"
"1365","Hornets","95","120","215","-25"
"1366","Timberwolves","116","114","230","2"
"1367","Suns","114","116","230","-2"
"1368","Spurs","95","103","198","-8"
"1369","Clippers","103","95","198","8"
"1370","Knicks","109","127","236","-18"
"1371","Thunder","127","109","236","18"
"1372","Cavaliers","88","104","192","-16"
"1373","Bulls","104","88","192","16"
"1374","Wizards","101","87","188","14"
"1375","Pistons","87","101","188","-14"
"1376","Bucks","116","106","222","10"
"1377","Mavericks","106","116","222","-10"
"1378","Hawks","103","122","225","-19"
"1379","Magic","122","103","225","19"
"1380","Nets","123","94","217","29"
"1381","Kings","94","123","217","-29"
"1382","Grizzlies","85","105","190","-20"
"1383","Pelicans","105","85","190","20"
"1384","Celtics","107","99","206","8"
"1385","Heat","99","107","206","-8"
"1386","76ers","121","93","214","28"
"1387","Rockets","93","121","214","-28"
"1388","Jazz","104","109","213","-5"
"1389","Trail Blazers","109","104","213","5"
"1390","Lakers","111","130","241","-19"
"1391","Warriors","130","111","241","19"
"1392","Raptors","120","105","225","15"
"1393","Kings","105","120","225","-15"
"1394","Thunder","123","114","237","9"
"1395","Trail Blazers","114","123","237","-9"
"1396","Mavericks","106","98","204","8"
"1397","Clippers","98","106","204","-8"
"1398","Suns","91","118","209","-27"
"1399","Timberwolves","118","91","209","27"
"1400","Pacers","110","106","216","4"
"1401","Raptors","106","110","216","-4"
"1402","Celtics","123","103","226","20"
"1403","Cavaliers","103","123","226","-20"
"1404","Nets","114","110","224","4"
"1405","Magic","110","114","224","-4"
"1406","Heat","99","111","210","-12"
"1407","Clippers","111","99","210","12"
"1408","Knicks","110","114","224","-4"
"1409","Rockets","114","110","224","4"
"1410","76ers","122","120","242","2"
"1411","Spurs","120","122","242","-2"
"1412","Bulls","101","121","222","-20"
"1413","Hawks","121","101","222","20"
"1414","Grizzlies","107","118","225","-11"
"1415","Hornets","118","107","225","11"
"1416","Pelicans","94","98","192","-4"
"1417","Pistons","98","94","192","4"
"1418","Jazz","114","108","222","6"
"1419","Nuggets","108","114","222","-6"
"1420","Wizards","118","126","244","-8"
"1421","Warriors","126","118","244","8"
"1422","Thunder","122","116","238","6"
"1423","Pelicans","116","122","238","-6"
"1424","Suns","106","120","226","-14"
"1425","Trail Blazers","120","106","226","14"
"1426","Lakers","105","120","225","-15"
"1427","Timberwolves","120","105","225","15"
"1428","Magic","91","95","186","-4"
"1429","Wizards","95","91","186","4"
"1430","Nets","109","99","208","10"
"1431","Knicks","99","109","208","-10"
"1432","Cavaliers","94","100","194","-6"
"1433","Heat","100","94","194","6"
"1434","Bulls","101","106","207","-5"
"1435","Clippers","106","101","207","5"
"1436","Rockets","121","119","240","2"
"1437","Raptors","119","121","240","-2"
"1438","Grizzlies","96","99","195","-3"
"1439","Kings","99","96","195","3"
"1440","Mavericks","106","101","207","5"
"1441","Pistons","101","106","207","-5"
"1442","Bucks","108","99","207","9"
"1443","Hornets","99","108","207","-9"
"1444","Nuggets","132","95","227","37"
"1445","Suns","95","132","227","-37"
"1446","Jazz","106","102","208","4"
"1447","Timberwolves","102","106","208","-4"
"1448","Pelicans","114","126","240","-12"
"1449","Spurs","126","114","240","12"
"1450","Grizzlies","106","103","209","3"
"1451","Pacers","103","106","209","-3"
"1452","Celtics","111","115","226","-4"
"1453","Warriors","115","111","226","4"
"1454","Nuggets","126","110","236","16"
"1455","76ers","110","126","236","-16"
"1456","Trail Blazers","120","111","231","9"
"1457","Hawks","111","120","231","-9"
"1458","Bulls","101","104","205","-3"
"1459","Cavaliers","104","101","205","3"
"1460","Clippers","122","108","230","14"
"1461","Kings","108","122","230","-14"
"1462","Thunder","118","112","230","6"
"1463","Bucks","112","118","230","-6"
"1464","Mavericks","120","123","243","-3"
"1465","Raptors","123","120","243","3"
"1466","Rockets","103","98","201","5"
"1467","Magic","98","103","201","-5"
"1468","Timberwolves","111","125","236","-14"
"1469","Jazz","125","111","236","14"
"1470","Spurs","132","119","251","13"
"1471","Wizards","119","132","251","-13"
"1472","Knicks","97","106","203","-9"
"1473","Heat","106","97","203","9"
"1474","Lakers","116","102","218","14"
"1475","Suns","102","116","218","-14"
"1476","Hornets","101","92","193","9"
"1477","Knicks","92","101","193","-9"
"1478","Pacers","100","132","232","-32"
"1479","Warriors","132","100","232","32"
"1480","Celtics","112","104","216","8"
"1481","Nets","104","112","216","-8"
"1482","Grizzlies","92","95","187","-3"
"1483","Nuggets","95","92","187","3"
"1484","Clippers","118","123","241","-5"
"1485","Hawks","123","118","241","5"
"1486","Cavaliers","116","113","229","3"
"1487","Wizards","113","116","229","-3"
"1488","Pistons","105","115","220","-10"
"1489","Bucks","115","105","220","10"
"1490","Magic","117","126","243","-9"
"1491","Thunder","126","117","243","9"
"1492","Nets","122","117","239","5"
"1493","Bulls","117","122","239","-5"
"1494","Rockets","116","121","237","-5"
"1495","Pelicans","121","116","237","5"
"1496","Spurs","126","124","250","2"
"1497","Suns","124","126","250","-2"
"1498","Lakers","105","121","226","-16"
"1499","76ers","121","105","226","16"
"1500","Celtics","126","94","220","32"
"1501","Hornets","94","126","220","-32"
"1502","Heat","89","105","194","-16"
"1503","Bulls","105","89","194","16"
"1504","Knicks","90","114","204","-24"
"1505","Mavericks","114","90","204","24"
"1506","Wizards","107","89","196","18"
"1507","Pacers","89","107","196","-18"
"1508","Timberwolves","99","97","196","2"
"1509","Grizzlies","97","99","196","-2"
"1510","Pelicans","99","105","204","-6"
"1511","Nuggets","105","99","204","6"
"1512","Kings","135","113","248","22"
"1513","Hawks","113","135","248","-22"
"1514","Trail Blazers","132","105","237","27"
"1515","Jazz","105","132","237","-27"
"1516","Pistons","93","89","182","4"
"1517","Mavericks","89","93","182","-4"
"1518","Magic","107","100","207","7"
"1519","Pacers","100","107","207","-7"
"1520","Raptors","92","105","197","-13"
"1521","Bucks","105","92","197","13"
"1522","Spurs","117","114","231","3"
"1523","Nets","114","117","231","-3"
"1524","Warriors","104","113","217","-9"
"1525","76ers","113","104","217","9"
"1526","Clippers","120","123","243","-3"
"1527","Lakers","123","120","243","3"
"1528","Hornets","100","92","192","8"
"1529","Grizzlies","92","100","192","-8"
"1530","Knicks","99","113","212","-14"
"1531","Celtics","113","99","212","14"
"1532","Heat","102","118","220","-16"
"1533","Thunder","118","102","220","16"
"1534","Jazz","128","112","240","16"
"1535","Hawks","112","128","240","-16"
"1536","Nuggets","136","122","258","14"
"1537","Rockets","122","136","258","-14"
"1538","Pistons","101","111","212","-10"
"1539","Clippers","111","101","212","10"
"1540","Hornets","125","118","243","7"
"1541","Bulls","118","125","243","-7"
"1542","Magic","102","89","191","13"
