"index","Team","Points Scored","Points Allowed","Total Points","Point Differential"
"156","Heat","120","111","231","9"
"157","Trail Blazers","111","120","231","-9"
"158","Grizzlies","117","96","213","21"
"159","Suns","96","117","213","-21"
"160","Bucks","113","91","204","22"
"161","Magic","91","113","204","-22"
"162","Spurs","110","106","216","4"
"163","Lakers","106","110","216","-4"
"164","Nets","114","120","234","-6"
"165","Warriors","120","114","234","6"
"166","Mavericks","104","113","217","-9"
"167","Jazz","113","104","217","9"
"168","Thunder","117","110","227","7"
"169","Suns","110","117","227","-7"
"170","Clippers","136","104","240","32"
"171","Wizards","104","136","240","-32"
"172","Pacers","93","103","196","-10"
"173","Trail Blazers","103","93","196","10"
"174","76ers","113","92","205","21"
"175","Hawks","92","113","205","-21"
"176","Heat","113","123","236","-10"
"177","Kings","123","113","236","10"
"178","Knicks","115","96","211","19"
"179","Nets","96","115","211","-19"
"180","Bulls","124","149","273","-25"
"181","Warriors","149","124","273","25"
"182","Bucks","124","109","233","15"
"183","Raptors","109","124","233","-15"
"184","Timberwolves","124","120","244","4"
"185","Lakers","120","124","244","-4"
"186","Spurs","113","108","221","5"
"187","Mavericks","108","113","221","-5"
"188","Nuggets","116","111","227","5"
"189","Pelicans","111","116","227","-5"
"190","Hornets","125","113","238","12"
"191","Heat","113","125","238","-12"
"192","Cavaliers","136","114","250","22"
"193","Hawks","114","136","250","-22"
"194","Magic","99","107","206","-8"
"195","Kings","107","99","206","8"
"196","Celtics","108","105","213","3"
"197","Pistons","105","108","213","-3"
"198","Raptors","129","112","241","17"
"199","76ers","112","129","241","-17"
"200","Rockets","85","104","189","-19"
"201","Trail Blazers","104","85","189","19"
"202","Grizzlies","107","95","202","12"
"203","Wizards","95","107","202","-12"
"204","Thunder","128","110","238","18"
"205","Clippers","110","128","238","-18"
"206","Nets","120","119","239","1"
"207","Pistons","119","120","239","-1"
"208","Knicks","101","107","208","-6"
"209","Pacers","107","101","208","6"
"210","Bulls","107","108","215","-1"
"211","Nuggets","108","107","215","1"
"212","Timberwolves","128","125","253","3"
"213","Jazz","125","128","253","-3"
"214","Warriors","131","121","252","10"
"215","Pelicans","121","131","252","-10"
"216","Lakers","114","113","227","1"
"217","Mavericks","113","114","227","-1"
"218","Suns","90","120","210","-30"
"219","Spurs","120","90","210","30"
"220","Hornets","107","111","218","-4"
"221","Thunder","111","107","218","4"
"222","Cavaliers","91","110","201","-19"
"223","Nuggets","110","91","201","19"
"224","76ers","122","113","235","9"
"225","Clippers","113","122","235","-9"
"226","Hawks","115","146","261","-31"
"227","Kings","146","115","261","31"
"228","Celtics","117","113","230","4"
"229","Bucks","113","117","230","-4"
"230","Trail Blazers","132","119","251","13"
"231","Pelicans","119","132","251","-13"
"232","Magic","95","120","215","-25"
"233","Clippers","120","95","215","25"
"234","Nets","111","119","230","-8"
"235","Rockets","119","111","230","8"
"236","Wizards","111","134","245","-23"
"237","Thunder","134","111","245","23"
"238","Bulls","105","107","212","-2"
"239","Pacers","107","105","212","2"
"240","Mavericks","106","118","224","-12"
"241","Knicks","118","106","224","12"
"242","Jazz","100","110","210","-10"
"243","Grizzlies","110","100","210","10"
"244","Suns","98","107","205","-9"
"245","Raptors","107","98","205","9"
"246","Warriors","116","99","215","17"
"247","Timberwolves","99","116","215","-17"
"248","76ers","109","99","208","10"
"249","Pistons","99","109","208","-10"
"250","Hornets","126","94","220","32"
"251","Cavaliers","94","126","220","-32"
"252","Pacers","102","101","203","1"
"253","Celtics","101","102","203","-1"
"254","Hawks","123","118","241","5"
"255","Heat","118","123","241","-5"
"256","Bulls","88","96","184","-8"
"257","Rockets","96","88","184","8"
"258","Spurs","109","95","204","14"
"259","Pelicans","95","109","204","-14"
"260","Nuggets","103","88","191","15"
"261","Jazz","88","103","191","-15"
"262","Trail Blazers","110","114","224","-4"
"263","Lakers","114","110","224","4"
"264","Bucks","144","109","253","35"
"265","Kings","109","144","253","-35"
"266","Nets","122","97","219","25"
"267","76ers","97","122","219","-25"
"268","Wizards","108","95","203","13"
"269","Knicks","95","108","203","-13"
"270","Spurs","110","117","227","-7"
"271","Magic","117","110","227","7"
"272","Suns","102","100","202","2"
"273","Grizzlies","100","102","202","-2"
"274","Trail Blazers","111","81","192","30"
"275","Timberwolves","81","111","192","-30"
"276","Lakers","107","121","228","-14"
"277","Raptors","121","107","228","14"
"278","Pistons","115","120","235","-5"
"279","Heat","120","115","235","5"
"280","Pacers","94","98","192","-4"
"281","Rockets","98","94","192","4"
"282","Magic","102","100","202","2"
"283","Cavaliers","100","102","202","-2"
"284","Knicks","115","116","231","-1"
"285","Bulls","116","115","231","1"
"286","Thunder","122","116","238","6"
"287","Pelicans","116","122","238","-6"
"288","Nuggets","115","107","222","8"
"289","Celtics","107","115","222","-8"
"290","Jazz","111","124","235","-13"
"291","Raptors","124","111","235","13"
"292","Warriors","117","101","218","16"
"293","Grizzlies","101","117","218","-16"
"294","Clippers","120","109","229","11"
"295","Timberwolves","109","120","229","-11"
"296","Hornets","113","102","215","11"
"297","Hawks","102","113","215","-11"
"298","Mavericks","119","100","219","19"
"299","Wizards","100","119","219","-19"
"300","Suns","82","104","186","-22"
"301","Nets","104","82","186","22"
"302","Trail Blazers","118","103","221","15"
"303","Bucks","103","118","221","-15"
"304","Cavaliers","86","95","181","-9"
"305","Thunder","95","86","181","9"
"306","Magic","96","103","199","-7"
"307","Pistons","103","96","199","7"
"308","Hawks","107","112","219","-5"
"309","Knicks","112","107","219","5"
"310","Heat","95","88","183","7"
"311","Spurs","88","95","183","-7"
"312","Pacers","94","100","194","-6"
"313","76ers","100","94","194","6"
"314","Grizzlies","89","87","176","2"
"315","Nuggets","87","89","176","-2"
"316","Pelicans","107","98","205","9"
"317","Bulls","98","107","205","-9"
"318","Jazz","117","102","219","15"
"319","Mavericks","102","117","219","-15"
"320","Kings","105","114","219","-9"
"321","Raptors","114","105","219","9"
"322","Lakers","114","110","224","4"
"323","Timberwolves","110","114","224","-4"
"324","Thunder","98","80","178","18"
"325","Rockets","80","98","178","-18"
"326","Suns","109","116","225","-7"
"327","Celtics","116","109","225","7"
"328","Trail Blazers","116","105","221","11"
"329","Clippers","105","116","221","-11"
"330","Warriors","111","134","245","-23"
"331","Bucks","134","111","245","23"
"332","Magic","117","108","225","9"
"333","Wizards","108","117","225","-9"
"334","76ers","133","132","265","1"
"335","Hornets","132","133","265","-1"
"336","Hawks","109","124","233","-15"
"337","Pistons","124","109","233","15"
"338","Heat","102","110","212","-8"
"339","Pacers","110","102","212","8"
"340","Nuggets","110","112","222","-2"
"341","Nets","112","110","222","2"
"342","Jazz","123","115","238","8"
"343","Celtics","115","123","238","-8"
"344","Kings","121","110","231","11"
"345","Timberwolves","110","121","231","-11"
"346","Raptors","128","112","240","16"
"347","Knicks","112","128","240","-16"
"348","Clippers","128","126","254","2"
"349","Bucks","126","128","254","-2"
"350","Pelicans","119","99","218","20"
"351","Suns","99","119","218","-20"
"352","Heat","110","116","226","-6"
"353","Wizards","116","110","226","6"
"354","Bulls","99","98","197","1"
"355","Cavaliers","98","99","197","-1"
"356","Grizzlies","112","106","218","6"
"357","76ers","106","112","218","-6"
"358","Spurs","96","89","185","7"
"359","Rockets","89","96","185","-7"
"360","Warriors","116","100","216","16"
"361","Nets","100","116","216","-16"
"362","Mavericks","111","96","207","15"
"363","Thunder","96","111","207","-15"
"364","Kings","86","101","187","-15"
"365","Lakers","101","86","187","15"
"366","Pistons","103","113","216","-10"
"367","Hornets","113","103","216","10"
"368","Rockets","115","103","218","12"
"369","Pacers","103","115","218","-12"
"370","Knicks","89","115","204","-26"
"371","Magic","115","89","204","26"
"372","Nuggets","114","121","235","-7"
"373","Bucks","121","114","235","7"
"374","Trail Blazers","100","94","194","6"
"375","Celtics","94","100","194","-6"
"376","Lakers","107","106","213","1"
"377","Hawks","106","107","213","-1"
"378","Wizards","117","109","226","8"
"379","Magic","109","117","226","-8"
