index,Team,Points Scored,Points Allowed,Win/Loss,FG%,3p FG%,Ft%,Rebounds,Offensive Rebounds,Assists,Steals,Blocks,Turnovers:,Fastbreak Points,Points in Paint,Fouls
1252,Jazz,113,95,W,39.6,35.7,68.8,77,15,24,9,9,16,2,42,20
1253,Lakers,95,113,L,35.9,18.5,66.7,65,16,14,9,5,13,7,56,23
1254,Trail Blazers,127,96,W,55.9,37.5,88.9,51,7,31,10,16,9,26,48,20
1255,Hornets,96,127,L,40,43.3,68.8,50,10,23,3,2,14,10,36,10
1256,Warriors,146,109,W,57.6,46.2,84.6,55,11,38,6,8,12,29,42,27
1257,Bulls,109,146,L,44.9,45,88.2,35,5,16,9,1,13,19,46,21
1258,Clippers,104,109,L,48.6,50,79.3,42,6,25,7,5,17,17,46,19
1259,Pistons,109,104,W,43.5,43.2,86.4,53,14,20,12,5,18,6,34,26
1260,Heat,112,108,W,50,48.4,70.8,48,10,25,7,4,14,8,44,23
1261,Grizzlies,108,112,L,48.1,31,77.8,47,10,18,9,6,13,4,48,21
1262,Magic,105,103,W,42.9,28.9,91.7,55,9,21,2,5,15,9,36,20
1263,Celtics,103,105,L,42.2,25,67.9,56,10,19,7,3,8,18,40,18
1264,Timberwolves,110,106,W,43,28.2,79.2,55,15,23,7,5,15,15,48,20
1265,Pelicans,106,110,L,46,20.8,87.5,53,10,22,7,8,17,4,62,20
1266,Thunder,122,112,W,46.2,47.8,86.2,54,7,27,10,5,7,27,52,16
1267,Spurs,112,122,L,45.8,32.3,70,58,13,21,5,7,14,7,52,18
1268,Suns,102,93,W,41.3,30.8,72,57,14,29,11,9,9,17,52,19
1269,Nuggets,93,102,L,38.6,32.3,68.2,65,13,25,7,6,17,21,36,19
1270,Jazz,110,102,W,43.2,35.6,72,62,10,23,6,11,13,11,32,18
1271,Bulls,102,110,L,41.2,28,88.2,54,10,24,8,7,11,6,54,19
1272,Kings,104,97,W,41.4,37.8,66.7,55,12,27,8,5,11,4,48,21
1273,Hornets,97,104,L,40.9,33.3,59.1,68,13,21,6,11,20,10,44,17
1274,Knicks,105,108,L,43,32.3,70,43,7,24,8,5,10,16,46,21
1275,76ers,108,105,W,46,30,73.3,70,12,22,4,9,17,10,56,21
1276,Wizards,138,140,L,45.8,43.2,61.1,64,17,36,11,7,20,16,62,28
1277,Raptors,140,138,W,47.1,36.1,80.6,69,17,24,16,8,23,20,58,27
1278,Hawks,114,133,L,40.6,31.6,80,64,18,19,3,5,24,9,48,30
1279,Bucks,133,114,W,53.3,36.7,72.7,51,8,28,13,4,14,32,58,25
1280,Magic,116,109,W,48.2,37.5,89.3,52,12,25,6,2,11,8,56,21
1281,Rockets,109,116,L,44.2,23.8,85.2,47,9,20,7,1,10,19,56,21
1282,Mavericks,114,119,L,41.8,42.1,75.9,58,18,21,5,4,12,21,36,14
1283,Warriors,119,114,W,45.5,42.2,83.3,58,16,26,9,8,10,25,34,22
1284,Nuggets,116,113,W,55.6,40.9,85,43,4,21,5,0,12,4,56,20
1285,Trail Blazers,113,116,L,45.5,35.3,95.5,45,8,25,5,1,9,3,42,22
1286,Lakers,95,101,L,39.6,20.6,59.3,61,13,21,4,5,11,11,52,22
1287,Cavaliers,101,95,W,42.7,38.1,73.9,62,10,18,5,2,13,7,52,21
1288,Nets,109,102,W,43,34.2,88,61,13,18,5,7,17,7,44,20
1289,Celtics,102,109,L,40.7,30.6,73.9,51,10,21,10,8,12,4,46,21
1290,Rockets,112,94,W,44,37.5,90.9,44,7,17,12,3,14,8,32,20
1291,Grizzlies,94,112,L,50.7,45.5,54.5,50,9,31,5,5,24,13,50,20
1292,Spurs,93,108,L,46.3,35,83.3,44,3,21,4,6,12,9,34,15
1293,Hornets,108,93,W,46.7,36.1,81.8,53,8,24,7,4,8,8,44,14
1294,Jazz,100,94,W,38.8,32.4,72.2,70,11,20,5,3,18,4,38,18
1295,Pistons,94,100,L,38.9,30.6,81.3,47,5,16,13,4,11,2,40,27
1296,Kings,115,107,W,49.4,38.5,79.2,57,11,24,6,6,13,14,44,23
1297,Trail Blazers,107,115,L,40.2,32.3,79.3,53,17,22,6,3,14,6,44,23
1298,Clippers,117,121,L,47.7,50,70.8,59,8,34,4,7,17,16,40,21
1299,Pelicans,121,117,W,43.8,32,75,59,15,28,8,7,7,24,68,19
1300,Pacers,131,97,W,51.7,48,75,60,9,31,11,7,14,27,60,17
1301,Suns,97,131,L,42.1,29.6,50,56,10,26,8,6,19,12,48,30
1302,76ers,149,107,W,59.8,48.8,85.7,59,8,40,6,11,15,28,54,29
1303,Timberwolves,107,149,L,38.9,34.8,82.9,42,9,18,10,2,11,12,46,19
1304,Hawks,142,126,W,62.2,48.6,75,49,10,36,8,4,19,10,68,28
1305,Thunder,126,142,L,45.7,28.1,75.6,50,15,22,16,3,12,40,54,18
1306,Bucks,124,86,W,50,43.6,61.1,60,7,35,8,6,7,20,56,12
1307,Heat,86,124,L,41.9,23.5,75,47,4,27,2,6,18,5,48,14
1308,Nuggets,111,142,L,45.7,41.2,81.3,40,9,30,4,3,8,6,48,12
1309,Warriors,142,111,W,60,53.8,70,54,12,38,6,4,10,9,46,20
1310,Lakers,107,100,W,46.3,30.8,67.6,61,13,21,7,4,17,15,54,18
1311,Bulls,100,107,L,40.2,29,70.8,56,13,21,11,6,15,23,48,26
1312,Pistons,120,115,W,47.8,40,80,59,14,26,4,4,13,7,52,16
1313,Magic,115,120,L,50,35.9,53.8,47,8,29,6,3,12,10,52,21
1314,Celtics,117,108,W,50,46.7,84.6,53,14,32,7,6,15,15,54,24
1315,Raptors,108,117,L,44.6,24.1,90.5,48,14,20,9,2,13,18,58,14
1316,Rockets,142,145,L,42.9,32.9,85.3,57,10,18,7,8,10,19,44,24
1317,Nets,145,142,W,51.9,44.4,77.3,65,16,29,4,3,14,22,74,25
1318,Grizzlies,101,111,L,38.9,32.3,68,58,13,29,11,9,15,19,44,15
1319,Bucks,111,101,W,47.6,35.3,86.4,55,5,27,9,8,16,26,48,25
1320,Mavericks,101,105,L,43,35.7,75,52,13,22,6,3,14,0,38,14
1321,Spurs,105,101,W,49.4,43.3,83.3,45,11,26,9,6,9,12,36,19
1322,Trail Blazers,129,112,W,52.8,55.2,82.6,52,7,28,1,6,4,10,48,17
1323,Cavaliers,112,129,L,47.4,31.6,84.2,47,12,17,0,5,3,4,66,18
1324,Warriors,147,140,W,48,49,80.6,65,10,33,8,5,10,43,38,24
1325,Pelicans,140,147,L,48,51.4,81.8,51,7,36,6,5,10,20,54,23
1326,Clippers,109,129,L,45.9,45.5,64.3,46,11,24,8,1,12,20,46,24
1327,Jazz,129,109,W,51.2,33.3,81.1,61,8,27,9,7,13,5,54,15
1328,Wizards,101,100,W,43.5,25.9,70,58,15,23,9,2,14,14,54,10
1329,Knicks,100,101,L,44.8,41.4,83.3,50,6,15,6,3,16,7,44,16
1330,Hornets,114,95,W,44.8,28.9,86.2,56,12,21,11,4,13,12,52,16
1331,Kings,95,114,L,44.3,33.3,46.2,52,11,28,7,3,18,7,38,22
1332,Pacers,96,120,L,40.2,31,75,48,12,23,9,3,12,16,48,14
1333,76ers,120,96,W,52.9,52.9,90.9,55,9,38,8,6,18,15,50,10
1334,Raptors,111,109,W,50,25,72,48,9,27,8,8,14,7,60,27
1335,Suns,109,111,L,42.9,30,77.8,58,15,18,9,8,16,24,42,21
1336,Nuggets,135,105,W,52.1,50,75,54,13,34,6,2,7,11,56,16
1337,Bulls,105,135,L,47.3,35.7,63.6,50,16,27,3,3,12,4,56,21
1338,Thunder,128,138,L,39.4,40.7,66.7,54,15,31,10,4,15,16,24,22
1339,Lakers,138,128,W,50.5,47.5,90.5,72,14,37,11,5,24,12,56,24
1340,Celtics,122,116,W,51.2,44.7,77.3,59,10,29,5,9,17,12,34,20
1341,Grizzlies,116,122,L,44.6,45.7,90,41,9,33,11,5,9,13,48,22
1342,Pistons,98,93,W,42.7,39.4,83.3,45,8,23,7,2,12,7,32,20
1343,Heat,93,98,L,50.6,34.5,26.3,57,7,25,3,6,19,4,52,20
1344,Magic,115,117,L,50,38.5,78.6,57,12,26,5,6,13,6,56,18
1345,Nets,117,115,W,45.4,41.3,66.7,51,9,24,5,5,11,11,50,19
1346,Timberwolves,113,116,L,44,26.9,84.2,53,10,21,5,3,12,6,42,28
1347,Spurs,116,113,W,50,45.8,79.3,47,9,24,3,4,16,4,46,25
1348,Jazz,115,99,W,51.8,35.1,93.3,51,8,33,6,5,19,11,60,22
1349,Cavaliers,99,115,L,41.4,29.2,76.9,48,6,16,9,3,15,8,44,19
1350,Clippers,94,112,L,36.5,16,80,63,12,11,6,4,18,12,42,30
1351,Warriors,112,94,W,48.8,24.3,70.4,50,3,31,11,8,10,17,44,24
1352,Trail Blazers,128,112,W,46.6,32.4,80.8,58,18,30,8,3,7,13,52,22
1353,Pelicans,112,128,L,48.8,32,81.5,50,7,23,4,6,12,7,56,24
1354,76ers,115,117,L,46.9,34.4,71.8,58,12,28,6,7,19,10,40,20
1355,Thunder,117,115,W,44.1,38.7,88.5,51,11,20,10,6,10,17,48,24
1356,Hornets,135,115,W,54.5,47.1,85.2,58,14,31,5,8,18,16,52,26
1357,Suns,115,135,L,44.8,33.3,78.8,41,7,21,7,7,8,12,48,26
1358,Pistons,101,103,L,43.9,34.5,76,56,13,21,6,2,17,7,48,23
1359,Kings,103,101,W,44.9,40,72.2,50,11,30,5,5,13,15,42,20
1360,Pacers,111,99,W,49.4,33.3,79.2,51,11,23,6,4,11,13,56,22
1361,Mavericks,99,111,L,42,24.3,80,52,14,21,5,4,13,6,52,18
1362,Magic,108,118,L,47.3,43.8,66.7,41,5,31,5,3,9,2,42,15
1363,Bucks,118,108,W,55.3,40,80,52,4,22,7,7,13,31,50,14
1364,Hawks,105,113,L,43.5,29.3,92.9,54,13,28,8,6,20,9,52,20
1365,Celtics,113,105,W,44.3,37.5,92,50,11,19,10,8,15,24,42,18
1366,Raptors,119,90,W,48.9,47.2,87.5,44,8,31,19,8,12,30,48,17
1367,Grizzlies,90,119,L,42.5,34.5,80,53,10,21,7,3,26,6,34,13
1368,Bulls,103,117,L,39.3,44.4,80.8,49,12,19,9,1,14,14,40,25
1369,Heat,117,103,W,57,40.6,60.9,53,7,27,5,6,17,4,58,23
1370,Rockets,138,134,W,42,36.8,80.6,52,12,23,9,4,12,10,34,27
1371,Lakers,134,138,L,52.1,27,80,65,13,27,6,4,16,17,68,27
1372,Nuggets,124,102,W,56.2,40.5,81.8,48,12,33,7,2,12,10,58,25
1373,Cavaliers,102,124,L,48.6,34.5,84.6,34,5,20,5,1,14,12,48,15
1374,Pacers,120,95,W,47,51.9,100,57,12,34,10,7,9,28,40,18
1375,Hornets,95,120,L,40.2,34.3,68,53,7,20,5,6,16,14,34,14
1376,Timberwolves,116,114,W,42.9,25,80,59,12,22,8,4,17,2,48,26
1377,Suns,114,116,L,46.5,30.8,68.8,57,9,22,9,5,16,14,44,27
1378,Spurs,95,103,L,46.4,42.1,52.9,57,10,21,6,8,18,6,38,25
1379,Clippers,103,95,W,45.9,52.4,58.3,52,4,23,11,2,12,19,44,18
1380,Knicks,109,127,L,44.8,30.4,75,46,11,25,8,3,12,9,52,23
1381,Thunder,127,109,W,54.2,51.7,81.5,53,10,26,7,2,19,13,48,31
1382,Cavaliers,88,104,L,35.6,22.2,69,52,11,16,8,4,14,4,44,18
1383,Bulls,104,88,W,47.4,50,77.3,58,8,24,8,2,18,14,34,26
1384,Wizards,101,87,W,45.6,34.8,77.8,53,5,24,7,6,16,25,46,18
1385,Pistons,87,101,L,40.3,32.4,77.8,46,2,22,5,3,18,10,32,21
1386,Bucks,116,106,W,46.2,37.5,90.9,59,8,21,9,7,15,28,56,19
1387,Mavericks,106,116,L,41.4,35,58.8,57,11,24,7,11,11,16,48,19
1388,Hawks,103,122,L,45.3,30,69.6,52,9,23,5,3,14,14,48,24
1389,Magic,122,103,W,50.5,37.9,90.5,49,9,29,8,8,11,4,44,22
1390,Nets,123,94,W,50,37.1,83.3,65,12,25,9,4,17,13,62,15
1391,Kings,94,123,L,41.9,40,54.5,43,10,26,8,4,14,11,46,20
1392,Celtics,107,99,W,49.4,40,90,47,8,26,13,7,19,17,42,21
1393,Heat,99,107,L,41.9,31.4,88.9,50,10,25,11,5,20,17,44,16
1394,Grizzlies,104,109,L,37.5,25.7,58.8,44,10,21,10,1,12,10,42,19
1395,Pelicans,109,104,W,52.7,34.6,69.2,61,7,19,8,7,19,6,48,17
1396,76ers,85,105,L,48.9,34.8,81.8,66,10,21,9,14,13,21,56,22
1397,Rockets,105,85,W,36,26.2,76.9,46,6,14,9,6,12,17,38,25
1398,Lakers,121,93,W,50,25,57.9,55,7,20,1,4,15,10,64,19
1399,Warriors,93,121,L,51,43.2,73.7,56,13,41,8,6,12,24,52,27
1400,Jazz,111,130,L,39.6,21.2,80.6,60,13,21,5,8,15,9,50,19
1401,Trail Blazers,130,111,W,50,44.4,73.3,50,7,30,6,9,11,4,60,22
1402,Raptors,120,105,W,44,40,68.6,64,12,25,7,5,16,26,46,21
1403,Kings,105,120,L,45.1,33.3,72.7,54,10,29,8,7,14,16,50,27
1404,Thunder,123,114,W,50.6,47.8,78.8,45,9,26,16,4,11,28,44,20
1405,Trail Blazers,114,123,L,45.3,27.8,81.8,60,20,21,7,3,20,6,52,20
1406,Mavericks,106,98,W,46.9,29.4,69,62,9,21,5,6,13,12,44,25
1407,Clippers,98,106,L,36.3,27.8,75.9,55,14,19,4,4,8,12,32,26
1408,Suns,91,118,L,42.5,20.6,55.6,48,5,23,6,9,14,17,50,17
1409,Timberwolves,118,91,W,43.7,35.7,68.4,74,20,30,7,1,15,9,40,18
1410,Pacers,110,106,W,43.5,34.6,84,57,12,27,6,7,7,15,50,23
1411,Raptors,106,110,L,41.3,30.8,78.3,58,10,28,2,5,9,10,40,22
1412,Celtics,123,103,W,52.3,48,91.3,45,9,25,12,5,14,25,62,20
1413,Cavaliers,103,123,L,43.7,43.3,70,53,15,20,4,4,21,6,48,18
1414,Nets,114,110,W,47.8,31.3,78.3,56,12,20,7,2,17,15,58,22
1415,Magic,110,114,L,42.7,32.4,82.1,52,11,22,7,11,13,7,44,19
1416,Heat,99,111,L,47,28.6,59.1,48,12,23,3,3,14,9,60,19
1417,Clippers,111,99,W,52.9,31.8,66.7,52,7,23,5,3,7,6,50,20
1418,Knicks,110,114,L,45.7,36.7,83.3,54,10,15,5,7,19,12,46,23
1419,Rockets,114,110,W,41.1,25,76.3,57,15,10,15,10,13,12,48,25
1420,76ers,122,120,W,50.5,47.2,78.6,46,13,35,9,5,12,21,48,14
1421,Spurs,120,122,L,57.3,48.1,86.7,40,5,24,8,6,15,15,46,15
1422,Bulls,101,121,L,44.3,30.8,85.2,41,7,20,7,6,15,23,48,21
1423,Hawks,121,101,W,50,37.5,76.2,57,16,31,11,2,17,12,54,20
1424,Grizzlies,107,118,L,46.9,29,91.7,44,6,25,8,3,11,17,48,25
1425,Hornets,118,107,W,53.2,40,77.4,44,5,23,8,2,9,16,38,19
1426,Pelicans,94,98,L,46.2,27.3,44.4,56,8,20,3,9,12,17,72,18
1427,Pistons,98,94,W,40.4,33.3,68.4,57,9,24,5,3,9,9,42,15
1428,Jazz,114,108,W,43.2,41.3,70.4,51,12,28,7,7,13,12,32,20
1429,Nuggets,108,114,L,47.7,29.6,80,57,12,20,7,9,16,12,54,25
1430,Wizards,118,126,L,46.3,35.7,71.4,46,9,29,7,2,10,26,48,22
1431,Warriors,126,118,W,56.8,35,90.5,51,8,34,5,6,15,18,70,21
1432,Thunder,122,116,W,49.5,43.8,50,64,14,33,8,2,14,21,66,15
1433,Pelicans,116,122,L,48.5,27.8,66.7,51,8,34,7,6,12,16,72,16
1434,Suns,106,120,L,40.9,34.2,77.8,49,9,19,9,4,16,30,40,22
1435,Trail Blazers,120,106,W,46.8,46.2,100,59,14,25,8,8,17,16,50,24
1436,Lakers,105,120,L,50.6,28.6,64.3,46,9,28,5,5,20,11,68,23
1437,Timberwolves,120,105,W,43.1,30.3,88,63,22,24,8,3,14,15,54,15
1438,Magic,91,95,L,45.2,21.2,66.7,56,13,24,3,4,16,14,60,10
1439,Wizards,95,91,W,44.3,55.6,83.3,40,5,26,9,1,12,12,32,15
1440,Nets,109,99,W,40.5,27.3,68.1,78,18,19,5,2,20,17,46,21
1441,Knicks,99,109,L,42.5,25.8,65.4,46,6,17,12,11,8,15,48,31
1442,Cavaliers,94,100,L,43.5,33.3,76.9,45,9,23,8,2,13,11,38,21
1443,Heat,100,94,W,46.8,39.1,68,56,11,19,6,4,14,12,46,18
1444,Bulls,101,106,L,39.2,28.6,91.7,54,12,20,11,5,11,21,46,23
1445,Clippers,106,101,W,46.3,38.1,75.9,60,5,27,3,4,16,4,50,14
1446,Rockets,121,119,W,45.1,21.7,87.9,48,12,17,11,5,12,8,62,21
1447,Raptors,119,121,L,48.4,38.9,94.4,54,12,27,4,1,21,16,52,25
1448,Grizzlies,96,99,L,42.5,30,81.5,52,9,22,13,5,16,20,48,22
1449,Kings,99,96,W,40.7,36.4,76.5,57,12,23,11,5,19,27,38,25
1450,Mavericks,106,101,W,45.7,38.9,60,55,9,24,8,6,10,18,46,25
1451,Pistons,101,106,L,41.2,31.6,76,57,13,22,6,0,13,21,44,26
1452,Bucks,108,99,W,46.1,19.4,87,52,6,17,9,6,12,20,66,18
1453,Hornets,99,108,L,40,25.6,68,61,12,20,4,2,17,5,42,19
1454,Nuggets,132,95,W,50,41.7,79.3,60,16,26,9,1,12,16,60,20
1455,Suns,95,132,L,42.1,23.3,92.3,39,2,20,4,7,16,14,46,25
1456,Jazz,106,102,W,39.4,32.5,76,60,16,25,9,8,11,8,38,19
1457,Timberwolves,102,106,L,42.2,30.8,85.7,58,12,20,5,5,15,12,48,22
1458,Pelicans,114,126,L,46.9,25.9,70.8,47,10,26,6,6,8,15,62,18
1459,Spurs,126,114,W,51.6,45.8,84,59,9,30,5,3,10,9,52,19
1460,Grizzlies,106,103,W,48.8,32.1,67.9,45,8,29,8,5,14,7,48,24
1461,Pacers,103,106,L,43.2,33.3,83.3,53,7,20,7,5,18,11,38,26
1462,Celtics,111,115,L,41.4,37.5,93.3,52,15,23,6,4,14,11,40,22
1463,Warriors,115,111,W,44.6,36.4,85.3,58,11,25,8,7,15,22,34,19
1464,Nuggets,126,110,W,51.1,33.3,75.9,65,11,27,4,4,11,13,74,21
1465,76ers,110,126,L,41.8,38.9,74.1,48,11,29,7,2,12,12,40,24
1466,Trail Blazers,120,111,W,50,36.7,90,55,11,26,8,7,19,18,42,23
1467,Hawks,111,120,L,45.7,36.4,75,44,9,24,9,7,11,11,54,27
1468,Bulls,101,104,L,44.3,34.6,82.4,54,8,22,5,8,10,11,46,17
1469,Cavaliers,104,101,W,42.4,38.2,86.7,53,12,26,5,3,8,8,42,13
1470,Clippers,122,108,W,47.7,37.9,93.1,57,14,35,6,1,19,22,56,28
1471,Kings,108,122,L,39.8,22.2,86.7,51,15,18,12,6,12,20,44,26
1472,Thunder,118,112,W,46.8,50,56,65,11,29,5,10,12,15,44,21
1473,Bucks,112,118,L,42.9,40.5,67.9,57,9,22,6,5,14,8,44,22
1474,Mavericks,120,123,L,48.9,30.6,67.6,56,7,25,5,2,11,14,62,29
