index,Team,Points Scored,Points Allowed,Win/Loss,FG%,3p FG%,Ft%,Rebounds,Offensive Rebounds,Assists,Steals,Blocks,Turnovers:,Fastbreak Points,Points in Paint,Fouls
1488,Pacers,100,132,L,42.6,40,80,43,10,29,4,5,15,12,42,18
1489,Warriors,132,100,W,54.1,41.9,81.3,61,13,39,9,7,14,18,60,19
1490,Celtics,112,104,W,45,32.5,90,61,16,29,11,16,18,22,56,16
1491,Nets,104,112,L,37.9,38.2,81.3,62,16,20,10,5,17,23,44,20
1492,Grizzlies,92,95,L,44.9,28.1,68.4,50,9,26,5,7,20,16,44,22
1493,Nuggets,95,92,W,44,22.2,92.9,47,9,17,10,2,15,13,48,18
1494,Clippers,118,123,L,48.2,37,92.9,41,13,27,10,4,16,9,56,26
1495,Hawks,123,118,W,50.6,29.4,86.2,52,15,28,7,6,19,10,62,25
1496,Cavaliers,116,113,W,53.6,44.1,45.8,60,7,30,3,2,16,6,48,21
1497,Wizards,113,116,L,48.3,33.3,73.9,43,3,31,8,1,6,8,42,22
1498,Pistons,105,115,L,47.2,32.4,75,49,10,29,8,3,12,2,44,14
1499,Bucks,115,105,W,54,40.6,80,43,6,32,9,6,11,13,54,15
1500,Magic,117,126,L,43.1,34.1,83.3,58,18,26,4,5,12,14,52,18
1501,Thunder,126,117,W,53.8,42.9,73.1,52,6,25,7,8,7,18,58,16
1502,Nets,122,117,W,44.7,28.6,70,55,7,25,11,2,8,7,54,21
1503,Bulls,117,122,L,50,32.1,73.7,61,5,17,6,8,18,5,64,29
1504,Rockets,116,121,L,39.6,33.9,70.8,56,15,22,11,5,12,12,40,20
1505,Pelicans,121,116,W,51.1,29,80,61,13,27,8,9,17,14,70,17
1506,Spurs,126,124,W,47,44.1,85,50,14,29,9,4,11,10,46,15
1507,Suns,124,126,L,60,44.8,78.9,42,3,26,8,5,18,17,50,22
1508,Lakers,105,121,L,46.7,30.4,75,57,14,26,7,4,21,32,56,20
1509,76ers,121,105,W,45.2,41.7,78.6,53,12,33,15,6,12,30,48,15
1510,Celtics,126,94,W,55.6,41.4,87.5,58,12,34,10,7,12,19,64,14
1511,Hornets,94,126,L,43.8,32.5,42.9,38,7,20,7,5,12,4,42,17
1512,Heat,89,105,L,38.2,28.6,69.2,55,15,22,6,2,15,6,36,20
1513,Bulls,105,89,W,51.3,42.1,81,46,5,26,6,3,13,13,48,20
1514,Knicks,90,114,L,41,23.1,71.4,40,5,16,10,5,12,11,38,15
1515,Mavericks,114,90,W,53.6,39.5,81.8,55,7,31,4,1,19,9,50,19
1516,Wizards,107,89,W,52.6,42.9,61.9,52,8,27,8,4,15,2,40,24
1517,Pacers,89,107,L,39.3,29,77.8,48,10,27,6,3,17,2,44,21
1518,Timberwolves,99,97,W,38.9,22.9,77.3,54,11,25,12,3,13,4,38,24
1519,Grizzlies,97,99,L,41.4,26.1,86.4,63,14,21,3,7,18,5,48,27
1520,Pelicans,99,105,L,41.6,41.7,76.9,57,8,27,4,4,15,11,42,20
1521,Nuggets,105,99,W,47.2,30,63.2,52,6,31,10,7,10,18,62,17
1522,Kings,135,113,W,54.5,31.4,76.2,58,15,36,7,2,14,26,76,24
1523,Hawks,113,135,L,44.2,34.8,84,44,9,24,7,3,21,8,40,19
1524,Trail Blazers,132,105,W,53.3,50,87,53,11,28,7,5,15,21,48,17
1525,Jazz,105,132,L,44.7,32.4,85.7,42,8,24,9,4,17,9,54,22
1526,Pistons,93,89,W,38.4,27.3,78.3,61,15,21,5,5,11,4,44,24
1527,Mavericks,89,93,L,40.9,28,71.4,53,11,18,2,5,12,7,42,21
1528,Magic,107,100,W,46.3,44,90.9,53,9,25,4,5,15,15,36,19
1529,Pacers,100,107,L,45.1,21.1,87.5,45,6,26,8,2,10,11,54,18
1530,Raptors,92,105,L,39.8,25.9,84.6,49,8,16,9,4,16,10,54,20
1531,Bucks,105,92,W,49.4,36.8,76.5,53,7,21,13,6,20,12,36,16
1532,Spurs,117,114,W,40,36.4,86.2,63,13,23,6,3,9,4,38,21
1533,Nets,114,117,L,47.2,32.4,65.5,58,5,30,5,7,14,26,54,23
1534,Warriors,104,113,L,46.6,28.9,68.8,45,9,30,13,7,15,12,46,19
1535,76ers,113,104,W,46.6,32.4,79.2,59,16,30,11,5,19,13,44,19
1536,Clippers,120,123,L,44.2,32.6,53.8,59,12,26,11,8,10,28,58,27
1537,Lakers,123,120,W,45.7,42.3,80,68,7,28,7,4,16,25,48,24
1538,Hornets,100,92,W,43.8,41.4,85.7,48,6,15,6,7,12,6,28,17
1539,Grizzlies,92,100,L,43.8,31,76.5,46,9,23,8,3,14,11,42,22
1540,Knicks,99,113,L,45.3,29,100,53,8,21,2,2,18,10,50,15
1541,Celtics,113,99,W,46,35.1,80,50,11,25,11,7,7,12,54,18
1542,Heat,102,118,L,44.6,30.6,64.3,55,11,28,7,2,18,8,54,17
1543,Thunder,118,102,W,48.4,53.3,73.7,53,13,23,10,4,15,23,48,20
1544,Jazz,128,112,W,52.9,34.3,80,55,11,31,4,6,15,5,62,22
1545,Hawks,112,128,L,39.8,30.4,83.3,55,8,23,11,4,11,5,46,27
1546,Nuggets,136,122,W,62.2,45.2,87,43,10,37,7,4,8,24,62,14
1547,Rockets,122,136,L,52.9,36.4,76.2,36,11,23,6,3,10,8,54,24
1548,Pistons,101,111,L,42.2,40.5,70,47,7,21,6,4,14,6,30,27
1549,Clippers,111,101,W,48.8,50,61.8,62,11,22,5,4,13,6,56,24
1550,Hornets,125,118,W,52.4,43.8,86.2,40,9,25,6,2,7,6,52,21
1551,Bulls,118,125,L,51.9,37.5,100,42,8,20,4,2,10,16,52,20
1552,Magic,102,89,W,43.6,37,83.3,53,7,25,11,8,14,6,52,17
1553,Nets,89,102,L,36.3,26.3,81.3,63,8,23,6,2,19,7,36,11
1554,Wizards,115,131,L,46.2,30.3,73.1,53,12,28,6,6,12,6,46,19
1555,Bucks,131,115,W,49.5,43.6,100,50,6,30,10,4,12,2,50,19
1556,Cavaliers,98,111,L,40,17.4,78.8,48,11,20,7,2,6,13,52,22
1557,Mavericks,111,98,W,47.6,41,78.9,58,9,20,2,4,13,9,46,26
1558,Heat,88,95,L,42.3,30,73.1,50,10,21,8,4,24,4,36,19
1559,Pacers,95,88,W,42.7,29.2,70.6,54,14,26,15,4,14,12,44,20
1560,Spurs,113,108,W,47.8,39.1,88.9,54,10,29,5,2,11,4,42,16
1561,Pelicans,108,113,L,44.8,28.6,100,49,5,26,6,4,9,16,56,16
1562,Warriors,115,101,W,47.3,32.4,94.7,53,7,31,4,9,10,18,58,17
1563,Lakers,101,115,L,43.8,25.9,58.8,57,13,23,5,4,15,17,58,18
1564,Timberwolves,106,107,L,47.2,32.4,68.8,53,8,27,6,4,10,6,42,15
1565,Nuggets,107,106,W,47.2,39.4,71.4,50,15,29,3,7,10,10,48,16
1566,Suns,112,118,L,46.9,37.5,55.6,46,10,31,15,5,10,38,58,23
1567,Hawks,118,112,W,51.2,43.8,69.2,62,16,21,6,5,24,17,50,18
1568,Jazz,98,125,L,36,26.8,69.4,64,14,19,8,9,23,19,36,21
1569,Rockets,125,98,W,46,38.5,81.1,56,8,17,15,8,14,0,44,29
1570,Kings,115,108,W,45.7,36.7,83.3,58,12,22,9,2,16,14,52,19
1571,76ers,108,115,L,44.1,21.2,76,54,14,19,9,5,14,18,62,22
1572,Knicks,84,96,L,37.8,30,72.7,53,6,20,4,6,15,6,32,16
1573,Grizzlies,96,84,W,40.7,34.6,72.2,58,10,25,8,4,8,0,44,20
1574,Celtics,134,129,W,59.3,38.2,76.5,49,5,36,8,6,14,15,58,22
1575,Thunder,129,134,L,48.9,40,73.5,48,11,25,12,5,11,37,56,18
1576,Raptors,121,103,W,45.7,27.3,83.9,66,16,21,10,5,16,14,52,28
1577,Clippers,103,121,L,42.7,16.7,86.2,45,7,15,7,7,13,8,60,24
1578,Pistons,129,103,W,54.5,43.2,85,57,16,32,8,8,20,9,54,20
1579,Nuggets,103,129,L,44.6,32.1,54.5,47,10,28,10,3,14,12,50,19
1580,Wizards,129,137,L,49.5,31.6,72.4,50,13,34,5,8,9,24,66,20
1581,Hawks,137,129,W,50.5,50,86.2,56,14,29,7,2,14,20,44,22
1582,Nets,94,113,L,32.4,11.9,82.1,70,16,23,5,9,13,6,54,21
1583,Bucks,113,94,W,42.6,25.6,68,70,15,29,9,7,11,22,60,20
1584,Pelicans,107,109,L,43.3,23.7,83.3,58,13,26,6,4,17,16,54,19
1585,Pacers,109,107,W,45.1,35.7,70.8,54,8,25,5,3,9,22,44,17
1586,Suns,110,118,L,53.6,28,72.2,44,9,29,9,1,17,12,62,20
1587,Rockets,118,110,W,49.4,31.7,76,50,12,19,13,2,14,20,50,19
1588,Kings,127,112,W,55.6,40.6,60.9,57,8,26,5,5,8,35,52,18
1589,Spurs,112,127,L,42.9,28.1,90.5,50,15,18,6,3,9,17,50,20
1590,Hornets,115,117,L,41.9,35.7,84.6,53,11,19,8,9,5,7,40,19
1591,Clippers,117,115,W,48.3,75,88.2,52,8,25,1,6,11,8,46,24
1592,Cavaliers,96,103,L,41.7,27.3,87.5,54,15,21,6,0,14,2,52,17
1593,Celtics,103,96,W,48.8,34.6,100,45,8,29,10,10,13,16,48,14
1594,Pacers,136,94,W,57.1,55.9,62.5,46,10,37,11,7,10,25,52,20
1595,Lakers,94,136,L,46.7,19,76.9,45,3,25,5,3,19,15,54,14
1596,Knicks,92,105,L,40,27.3,73.3,55,13,17,5,4,11,11,44,23
1597,Pistons,105,92,W,46.8,35.3,79.2,50,6,22,4,7,11,0,42,21
1598,76ers,107,119,L,44.3,29.2,92.7,42,5,20,8,3,18,15,44,22
1599,Raptors,119,107,W,46.1,35.5,81.3,54,15,27,12,0,13,11,56,27
1600,Grizzlies,108,106,W,41.9,44.1,72.4,46,12,18,11,6,8,11,38,18
1601,Timberwolves,106,108,L,44.8,31,95,61,16,26,4,4,17,8,48,23
1602,Thunder,132,122,W,50,43.3,73,64,8,25,11,2,17,10,58,25
1603,Magic,122,132,L,46.7,29.7,79.4,47,8,27,14,4,18,8,38,29
1604,Trail Blazers,108,118,L,45.2,38.5,75,42,7,30,6,2,13,15,42,21
1605,Heat,118,108,W,54.2,31.8,84,54,8,18,11,7,12,12,56,15
1606,Nets,135,130,W,51.1,55.9,72.7,54,5,36,9,5,14,23,50,22
1607,Nuggets,130,135,L,50.5,37.1,81,52,12,32,7,8,13,22,66,26
1608,Bulls,120,125,L,49.5,44.4,73.7,45,9,27,8,6,8,16,52,23
1609,Pelicans,125,120,W,52.9,42.9,66.7,56,14,26,1,6,12,6,60,18
1610,Bucks,148,129,W,60.2,63.3,65.4,41,8,33,15,3,15,34,70,20
1611,Wizards,129,148,L,52.2,45.9,84.2,52,8,34,6,5,24,13,48,23
1612,Mavericks,99,93,W,40.4,30.6,70.6,64,15,25,8,5,13,21,50,12
1613,Hornets,93,99,L,40.4,24.3,70.6,55,8,17,9,9,14,22,44,17
1614,Jazz,116,88,W,50,39.3,65.6,56,12,29,13,5,16,14,56,18
1615,Suns,88,116,L,46.7,17.6,78.9,41,7,23,8,2,22,15,52,25
1616,Kings,101,127,L,42.9,33.3,60,61,20,21,5,6,22,25,46,22
1617,Rockets,127,101,W,45,39.2,94.4,55,13,17,13,7,12,6,44,19
1618,Warriors,141,102,W,57.9,47.1,71.4,58,14,42,14,5,12,50,66,20
1619,Spurs,102,141,L,43.2,37.5,95.2,35,4,24,6,5,18,8,36,19
1620,Pacers,116,92,W,56.3,40.9,81.8,47,7,26,15,12,19,24,64,20
1621,Clippers,92,116,L,43.5,35.3,63.2,48,9,23,14,6,21,5,50,19
1622,Magic,122,112,W,54.2,42.3,91.3,43,10,23,5,7,13,5,46,16
1623,Timberwolves,112,122,L,46.5,38.5,83.3,52,16,23,8,4,12,6,56,19
1624,Hawks,101,119,L,45,45.7,52,50,8,25,5,3,17,12,32,25
1625,Raptors,119,101,W,46,32.5,78.8,60,12,29,6,2,8,22,38,23
1626,Celtics,128,129,L,48.9,42.1,100,52,11,35,7,5,8,22,42,16
1627,Lakers,129,128,W,51.5,53.7,38.9,54,10,35,5,6,8,17,50,19
1628,Thunder,117,95,W,47.8,38.6,63.6,50,11,29,17,2,11,22,48,25
1629,Grizzlies,95,117,L,44.2,29.2,87,51,8,19,9,4,24,9,42,21
1630,Trail Blazers,127,118,W,53.8,35.5,100,38,4,26,11,4,8,18,62,14
1631,Spurs,118,127,L,52.7,57.1,71.4,51,10,19,3,3,18,2,48,16
1632,Pistons,120,103,W,48.8,43.3,79.3,56,11,24,3,6,13,10,48,27
1633,Knicks,103,120,L,44.9,31.8,63.4,52,10,22,6,5,13,6,42,23
1634,76ers,117,110,W,50,45.5,90.6,46,7,23,7,5,17,19,40,12
1635,Nuggets,110,117,L,48.9,23.1,92.3,45,8,35,5,3,13,11,68,19
1636,Wizards,119,106,W,50,34.3,93.8,54,10,35,10,4,16,20,52,19
1637,Cavaliers,106,119,L,37.5,31.6,88,56,17,21,6,3,14,10,46,16
1638,Nets,106,125,L,41.5,31.7,93.8,43,6,26,9,1,13,15,50,21
1639,Bulls,125,106,W,54.1,50,79.2,57,8,27,5,5,18,11,58,21
1640,Mavericks,107,122,L,41.4,41.5,65,46,9,23,6,5,14,21,26,15
1641,Bucks,122,107,W,54.8,27.8,83.3,56,10,25,4,5,13,36,80,21
1642,Suns,107,117,L,38.6,19.4,76.7,57,19,23,12,1,12,17,60,28
1643,Warriors,117,107,W,50.6,34.5,71.4,62,9,30,5,9,18,33,52,23
1644,Pelicans,122,117,W,47.3,30,96.4,48,8,27,11,7,11,28,60,21
1645,Timberwolves,117,122,L,50.5,42.9,72.7,52,10,22,6,8,16,7,56,20
1646,Kings,102,96,W,41.1,34.6,76,57,10,18,11,5,14,19,48,17
1647,Heat,96,102,L,43.2,33.3,47.4,62,11,26,6,8,20,8,50,21
1648,Jazz,125,105,W,52.2,39,75,59,9,29,7,3,11,10,50,17
1649,Spurs,105,125,L,44.9,31.8,90,40,5,24,7,3,9,7,38,17
1650,Pacers,105,90,W,53.6,34.6,60,54,6,31,8,5,10,16,54,13
1651,Cavaliers,90,105,L,44.3,44.4,44.4,38,5,23,3,2,13,9,32,13
1652,Hawks,120,129,L,53.5,42.4,73.7,45,10,26,10,3,18,10,54,18
1653,Hornets,129,120,W,54.5,45.2,77.8,44,10,30,12,7,14,14,40,17
1654,Knicks,99,104,L,41.5,40,57.9,70,15,22,9,4,15,16,52,26
1655,Raptors,104,99,W,38.4,40,82.8,51,10,27,8,5,12,7,28,15
1656,Celtics,112,123,L,42.4,34.6,80.6,54,8,21,9,3,12,15,40,29
1657,Clippers,123,112,W,47.6,40,77.5,58,6,28,6,6,17,14,46,27
1658,Bulls,125,134,L,50.5,26.1,75,52,14,28,7,5,11,16,78,15
1659,Wizards,134,125,W,57.9,44.4,85.7,45,6,38,6,6,13,14,70,23
1660,Grizzlies,99,90,W,43.2,27.6,83.3,55,10,27,6,2,12,16,54,24
1661,Pelicans,90,99,L,39.5,18.2,59.3,61,17,25,6,5,15,26,52,22
1662,Rockets,112,117,L,43,35.6,73.3,49,7,18,10,7,12,2,34,26
1663,Thunder,117,112,W,44.9,38.2,80,63,12,20,7,5,19,15,44,24
1664,Bucks,83,103,L,32.6,17.1,83.3,57,12,18,5,8,10,8,46,16
1665,Magic,103,83,W,46.8,37,83.3,61,9,28,5,8,12,12,46,20
1666,Mavericks,102,101,W,41.4,32.4,78.3,50,11,20,6,3,16,21,44,20
1667,Trail Blazers,101,102,L,48.8,31,57.1,56,12,24,7,4,19,13,58,26
1668,76ers,143,120,W,57.7,50,86.4,44,7,33,10,3,8,22,70,17
1669,Lakers,120,143,L,51.6,37,73.7,50,9,31,3,4,16,17,60,21
1670,Kings,117,104,W,45.2,29,72.7,57,11,26,12,11,12,30,50,21
1671,Suns,104,117,L,41.8,22.2,73.3,62,15,22,5,4,17,17,56,31
1672,Hawks,108,124,L,46.3,40.6,84,40,5,27,5,6,11,11,40,21
1673,Magic,124,108,W,47.3,35.1,89.3,58,11,29,4,9,8,9,44,21
1674,Warriors,120,118,W,53.7,36.1,73.1,45,7,28,8,5,12,25,34,16
1675,Heat,118,120,L,45.7,41.9,50,61,21,32,6,4,16,7,48,22
1676,Cavaliers,107,104,W,40,31.8,89.5,64,17,20,6,2,18,10,46,16
1677,Knicks,104,107,L,45.7,26.9,65,52,10,21,8,9,10,17,52,17
1678,Pistons,121,112,W,51.8,41.7,85.7,52,10,25,6,2,16,7,56,21
1679,Wizards,112,121,L,50,35.9,73.7,39,7,31,7,5,14,10,40,21
1680,Pacers,99,90,W,51.4,32,88.2,46,5,25,3,3,12,2,42,22
1681,Hornets,90,99,L,32.2,17.5,75.8,61,21,15,7,2,7,13,38,15
1682,Raptors,127,125,W,54.3,29,90,52,5,32,12,3,14,20,60,16
1683,Nets,125,127,L,52.3,48.8,72.2,39,5,33,6,3,15,21,46,18
1684,Bulls,99,112,L,38.5,32.1,88.9,54,9,24,8,2,14,11,42,22
1685,Bucks,112,99,W,47.5,31.6,82.8,54,5,24,6,7,17,18,42,18
1686,Rockets,120,104,W,46.7,38.3,86.7,47,9,28,13,5,11,12,38,26
1687,Mavericks,104,120,L,47.9,36.1,77.8,47,3,21,5,1,18,4,36,17
1688,Timberwolves,130,120,W,52.2,33.3,83.3,48,16,28,14,1,13,15,74,22
1689,Clippers,120,130,L,51.4,41.4,87.2,41,8,24,8,2,21,17,44,28
1690,Thunder,120,111,W,47.7,45.7,75.9,55,7,23,9,7,12,23,42,28
1691,Trail Blazers,111,120,L,41.4,37.9,73.7,58,10,18,8,7,13,10,50,24
1692,Nuggets,103,87,W,42.7,43.2,84.6,51,10,27,7,6,15,25,36,17
1693,Heat,87,103,L,41.5,27.3,62.5,56,7,23,10,5,19,8,46,16
1694,Hawks,117,113,W,43.5,38.1,80.8,63,6,29,8,6,21,7,42,24
1695,Lakers,113,117,L,43.2,35,68,56,10,25,10,6,17,16,48,24
1696,76ers,109,112,L,48.8,33.3,71,54,10,21,4,3,14,12,50,20
1697,Celtics,112,109,W,46.6,44.8,81,47,8,24,9,3,5,13,38,23
1698,Grizzlies,107,108,L,49.4,33.3,68.8,59,8,25,5,6,13,16,44,23
1699,Spurs,108,107,W,41.9,61.9,79.3,47,10,23,6,5,8,28,30,14
1700,Pelicans,88,118,L,38.3,34.5,75,50,8,21,5,8,14,7,46,16
1701,Magic,118,88,W,44.2,40.6,95.5,64,12,32,9,8,10,16,46,14
1702,Warriors,115,108,W,49.4,31.7,66.7,46,5,29,12,7,7,24,44,20
1703,Jazz,108,115,L,47.1,38.5,76.2,57,7,23,3,4,16,9,54,21
1704,Cavaliers,139,148,L,45,42.9,72.2,63,18,35,7,4,15,6,54,37
1705,Nets,148,139,W,46,40,76.5,77,16,31,4,13,18,15,56,23
1706,Pacers,97,106,L,41.6,37,86.7,52,4,22,6,4,11,10,32,23
1707,Bucks,106,97,W,44.2,29,72.4,58,10,22,7,3,10,23,58,14
1708,Celtics,118,110,W,51.1,41,80,54,10,32,8,2,16,13,52,22
1709,Pistons,110,118,L,42.9,32.5,73.5,49,10,19,7,1,11,9,38,18
1710,Knicks,111,126,L,40,31,81.5,53,14,27,8,4,12,7,48,27
1711,76ers,126,111,W,53.8,34.8,79.1,57,6,33,8,7,15,7,56,24
1712,Raptors,129,120,W,47.8,42.1,83.3,57,9,32,8,8,15,32,52,27
1713,Wizards,120,129,L,44,35,82.1,50,4,27,6,3,18,9,28,28
1714,Bulls,122,110,W,56.3,40,82.8,54,9,28,2,3,15,17,58,19
1715,Grizzlies,110,122,L,48.3,35.5,76.5,36,5,33,10,5,9,11,42,19
1716,Mavericks,101,112,L,38.6,28.8,81.8,47,10,24,10,0,12,13,28,17
1717,Heat,112,101,W,54.3,40,75,52,7,24,8,3,19,17,48,20
1718,Nuggets,120,118,W,45.5,25.8,88,62,14,26,7,1,14,23,68,19
1719,Kings,118,120,L,45.2,34.4,82.1,51,10,30,12,1,12,20,54,23
1720,Timberwolves,121,111,W,54.4,50,76.5,55,13,31,4,6,10,4,70,13
1721,Rockets,111,121,L,40.8,35.8,92.3,49,13,23,5,2,11,4,36,18
1722,Trail Blazers,129,107,W,46.2,43.2,79.4,58,14,24,3,4,4,7,34,16
1723,Warriors,107,129,L,40.2,34.2,88.9,59,18,26,1,10,9,6,28,26
1724,Clippers,134,107,W,59.5,50,76.7,49,7,33,12,9,11,34,72,25
1725,Suns,107,134,L,46.5,26.7,76,44,8,24,6,4,17,11,46,23
1726,Magic,127,89,W,52.2,43.6,77.8,57,8,32,6,6,7,12,46,15
1727,Hornets,89,127,L,35.1,12.9,73.1,59,13,18,6,4,8,10,46,19
1728,Hawks,91,106,L,36.3,26.3,78.9,50,10,19,8,4,12,12,46,24
1729,Knicks,106,91,W,45.2,38.7,69.2,66,11,21,9,9,14,7,32,22
1730,Pelicans,131,122,W,54.3,46.2,79.2,56,13,35,7,7,15,15,70,15
1731,Thunder,122,131,L,47.2,22.7,92.3,48,17,27,8,6,13,23,72,21
